ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10417132,HZ155116,2/14/2016 19:00,022XX N LAMON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2522,25,31,19,7,1143361,1914411,2016,2/10/2018 15:50,41.9211821,-87.74868546,"(41.921182095, -87.748685459)"
10417159,HZ154963,2/17/2016 3:00,048XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1533,15,28,25,7,1144165,1899224,2016,2/10/2018 15:50,41.87949219,-87.74611329,"(41.879492192, -87.746113289)"
10417162,HZ155140,2/17/2016 16:00,0000X S HOYNE AVE,560,ASSAULT,SIMPLE,LIBRARY,FALSE,FALSE,1223,12,2,28,08A,1162415,1899879,2016,2/10/2018 15:50,41.88092737,-87.67908357,"(41.880927367, -87.679083567)"
10417171,HZ155038,1/29/2016 18:00,086XX S ASHLAND AVE,560,ASSAULT,SIMPLE,DEPARTMENT STORE,TRUE,FALSE,614,6,18,71,08A,1167180,1847402,2016,2/10/2018 15:50,41.73682362,-87.66308964,"(41.736823619, -87.663089637)"
10417197,HZ155171,2/17/2016 18:40,006XX E 71ST ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,TRUE,FALSE,323,3,6,69,04A,1181858,1858086,2016,2/10/2018 15:50,41.76581541,-87.60898484,"(41.765815405, -87.608984843)"
10417210,HZ155213,2/17/2016 19:45,022XX E 71ST ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,331,3,5,43,7,1192478,1858354,2016,2/10/2018 15:50,41.76629881,-87.57005088,"(41.766298808, -87.570050881)"
10417233,HZ155153,2/17/2016 15:00,014XX N LAWNDALE AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,2535,25,26,23,08A,1151436,1909421,2016,2/10/2018 15:50,41.90733418,-87.71914705,"(41.907334176, -87.719147053)"
10417241,HZ154716,2/17/2016 1:15,050XX W MADISON ST,560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,1533,15,28,25,08A,1142843,1899555,2016,2/10/2018 15:50,41.88042522,-87.75095928,"(41.880425216, -87.750959284)"
10417251,HZ155261,2/17/2016 20:30,086XX W FOSTER AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,1614,16,41,76,08A,1117806,1933416,2016,2/10/2018 15:50,41.97377403,-87.84218263,"(41.973774034, -87.842182629)"
10417255,HZ154878,2/17/2016 14:35,035XX E 114TH ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,433,4,10,52,08A,1201660,1829983,2016,2/10/2018 15:50,41.68821818,-87.53735791,"(41.688218178, -87.537357913)"
10417274,HZ155158,2/17/2016 12:00,056XX N CLARK ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2012,20,40,77,08A,1164895,1937524,2016,2/10/2018 15:50,41.98417512,-87.66890597,"(41.984175118, -87.668905965)"
